As of Date,Fiscal Year,Region,Borrower Country,Borrower Country Code,Project ID,Project Name,Procurement Type,Procurement Category,Procurement Method,Product line,WB Contract Number,Major Sector,Contract Description,Contract Signing Date,Supplier,Supplier Country,Supplier Country Code,Total Contract Amount (USD),Borrower Contract Reference Number
,,,,,,,,,,,347729,,,10/14/12 0:00
,,,,,,,,,,,348606,,,10/14/12 0:00
,,,,,,,,,,,346044,,,10/14/12 0:00
,,,,,,,,,,,348414,,,10/14/12 0:00
,,,,,,,,,,,347828,,,10/14/12 0:00
,,,,,,,,,,,347776,,,10/14/12 0:00
,,,,,,,,,,,348250,,,10/14/12 0:00
,,,,,,,,,,,348250,,,10/14/12 0:00
,,,,,,,,,,,348250,,,10/14/12 0:00
,,,,,,,,,,,348250,,,10/14/12 0:00
,,,,,,,,,,,348414,,,10/14/12 0:00
,,,,,,,,,,,348414,,,
,,,,,,,,,,,348414,,,
,,,,,,,,,,,348414,,,
,,,,,,,,,,,348250,,,
,,,,,,,,,,,348250,,,
,,,,,,,,,,,348250,,,
,,,,,,,,,,,348250,,,
,,,,,,,,,,,348157,,,
,,,,,,,,,,,346955,,,
,,,,,,,,,,,348157,,,
,,,,,,,,,,,347823
